Ticker,Weight
EXE,0.040898
SW,0.040611
LULU,0.040513
EL,0.040253
K,0.040131
AMCR,0.040094
EQR,0.039774
EIX,0.039342
WRB,0.039229
NTAP,0.039089
LDOS,0.038652
CFG,0.038267
DVN,0.038261
NI,0.03805
PODD,0.037779
TRMB,0.037499
ON,0.037393
FSLR,0.036587
DGX,0.035915
GPN,0.035897
BIIB,0.035893
LII,0.035871
HAL,0.034528
FFIV,0.034462
ZBH,0.034272
WY,0.034214
CTRA,0.034075
GPC,0.034004
IFF,0.033424
TPL,0.033417
LVS,0.032997
KEY,0.032929
MKC,0.032831
ZBRA,0.032384
PKG,0.032093
INVH,0.03205
LNT,0.031782
WST,0.031705
TER,0.031638
LUV,0.031628
WAT,0.031597
PNR,0.031468
J,0.031365
STLD,0.031257
EVRG,0.031211
SNA,0.0312
ROL,0.030675
ESS,0.030529
MAA,0.030413
L,0.030138
FTV,0.030003
EXPD,0.029868
BALL,0.029816
DECK,0.029761
DPZ,0.029668
GEN,0.02932
PFG,0.029197
TSN,0.028558
DOW,0.028472
HOLX,0.028375
CLX,0.028335
CF,0.028304
FDS,0.028045
MAS,0.027417
ALLE,0.026524
COO,0.02644
BLDR,0.026427
APTV,0.026346
KIM,0.02634
OMC,0.026191
TXT,0.026001
EG,0.025664
CHRW,0.025215
AVY,0.024407
CNC,0.024332
LYB,0.024234
BBY,0.023797
INCY,0.023304
JKHY,0.023214
FOXA,0.022753
RL,0.022417
IEX,0.022252
ARE,0.022124
DOC,0.022025
REG,0.02202
SJM,0.021867
GNRC,0.021776
POOL,0.02151
NDSN,0.021504
GL,0.021457
BAX,0.021393
UDR,0.021286
CPT,0.021068
MOS,0.020893
NCLH,0.020879
NWSA,0.020854
PAYC,0.020854
JBHT,0.020768
AKAM,0.020593
TKO,0.020555
PNW,0.020545
HST,0.020435
BG,0.020038
VTRS,0.019575
SWK,0.019535
HII,0.019455
RVTY,0.019421
SWKS,0.019026
SOLV,0.018893
HAS,0.018822
AIZ,0.018052
BXP,0.017843
AES,0.017834
IVZ,0.017652
UHS,0.017571
ALGN,0.017513
MRNA,0.017463
WYNN,0.017369
IPG,0.017033
DAY,0.016644
CAG,0.016622
ERIE,0.016602
EPAM,0.016202
TECH,0.016152
MOH,0.015992
HSIC,0.015901
WBA,0.015604
TAP,0.015586
KMX,0.015534
MTCH,0.015499
CRL,0.015387
HRL,0.015318
AOS,0.015253
ALB,0.015049
MKTX,0.014762
LW,0.014516
BEN,0.014486
LKQ,0.014298
MGM,0.013703
PARA,0.013675
FRT,0.01326
EMN,0.013128
FOX,0.012819
APA,0.012299
CPB,0.011819
MHK,0.011676
DVA,0.010807
BF-B,0.010062
CZR,0.009663
ENPH,0.007816
NWS,0.007045
